Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
DST, ARI/Arizona,3900,Ari@StL 01:00PM ET,9.273,Ari
DST, SEA/Seattle,3600,Sea@Min 01:00PM ET,10.455,Sea
DST, CAR/Carolina,3500,Car@NO 04:25PM ET,11.273,Car
DST, CIN/Cincinnati,3400,Cin@Cle 01:00PM ET,8.455,Cin
DST, DEN/Denver,3400,Den@SD 04:05PM ET,12,Den
DST, NE/New England,3400,Phi@NE 04:25PM ET,7.909,NE
DST, GB/Green Bay,3100,GB@Det 08:25PM ET,7.273,GB
DST, ATL/Atlanta,3000,Atl@TB 01:00PM ET,6.636,Atl
DST, KC/Kansas City,3000,KC@Oak 04:05PM ET,9.273,KC
DST, STL/St. Louis,2800,Ari@StL 01:00PM ET,8.909,StL
DST, PIT/Pittsburgh,2800,Ind@Pit 08:30PM ET,7.727,Pit
DST, NYJ/New York,2700,NYJ@NYG 01:00PM ET,7.182,NYJ
DST, JAC/Jacksonville,2700,Jax@Ten 01:00PM ET,6,Jax
DST, BUF/Buffalo,2600,Hou@Buf 01:00PM ET,6.636,Buf
DST, CHI/Chicago,2600,SF@Chi 01:00PM ET,5.364,Chi
DST, DAL/Dallas,2600,Dal@Was 08:30PM ET,5.545,Dal
DST, TEN/Tennessee,2600,Jax@Ten 01:00PM ET,6.727,Ten
DST, MIN/Minnesota,2600,Sea@Min 01:00PM ET,7.909,Min
DST, BAL/Baltimore,2600,Bal@Mia 01:00PM ET,7.455,Bal
DST, HOU/Houston,2500,Hou@Buf 01:00PM ET,7.636,Hou
DST, NYG/New York,2500,NYJ@NYG 01:00PM ET,8.818,NYG
DST, TB/Tampa Bay,2500,Atl@TB 01:00PM ET,8.182,TB
DST, DET/Detroit,2400,GB@Det 08:25PM ET,6.273,Det
DST, CLE/Cleveland,2300,Cin@Cle 01:00PM ET,6,Cle
DST, OAK/Oakland,2300,KC@Oak 04:05PM ET,5.818,Oak
DST, MIA/Miami,2300,Bal@Mia 01:00PM ET,5.909,Mia
DST, PHI/Philadelphia,2300,Phi@NE 04:25PM ET,8,Phi
DST, SD/San Diego,2300,Den@SD 04:05PM ET,3.909,SD
DST, WAS/Washington,2300,Dal@Was 08:30PM ET,7.727,Was
DST, IND/Indianapolis,2200,Ind@Pit 08:30PM ET,7.091,Ind
DST, SF/San Francisco,2100,SF@Chi 01:00PM ET,4,SF
DST, NO/New Orleans,2000,Car@NO 04:25PM ET,4.727,NO
QB,Tom Brady,8000,Phi@NE 04:25PM ET,25.709,NE
QB,Cam Newton,7400,Car@NO 04:25PM ET,23.213,Car
QB,Aaron Rodgers,7200,GB@Det 08:25PM ET,21.76,GB
QB,Drew Brees,6900,Car@NO 04:25PM ET,21.99,NO
QB,Carson Palmer,6700,Ari@StL 01:00PM ET,23.598,Ari
QB,Matt Ryan,6700,Atl@TB 01:00PM ET,17.671,Atl
QB,Andrew Luck,6700,Ind@Pit 08:30PM ET,21.406,Ind
QB,Philip Rivers,6600,Den@SD 04:05PM ET,22.667,SD
QB,Ben Roethlisberger,6600,Ind@Pit 08:30PM ET,22.46,Pit
QB,Eli Manning,6500,NYJ@NYG 01:00PM ET,19.958,NYG
QB,Andy Dalton,6400,Cin@Cle 01:00PM ET,21.813,Cin
QB,Derek Carr,6200,KC@Oak 04:05PM ET,20.6,Oak
QB,Matthew Stafford,6100,GB@Det 08:25PM ET,18.942,Det
QB,Blake Bortles,6000,Jax@Ten 01:00PM ET,20.689,Jax
QB,Peyton Manning,5900,Den@SD 04:05PM ET,12.422,Den
QB,Tony Romo,5600,Dal@Was 08:30PM ET,12.915,Dal
QB,Russell Wilson,5600,Sea@Min 01:00PM ET,19.529,Sea
QB,Marcus Mariota,5500,Jax@Ten 01:00PM ET,19.051,Ten
QB,Matt Hasselbeck,5300,Ind@Pit 08:30PM ET,17.555,Ind
QB,Ryan Tannehill,5300,Bal@Mia 01:00PM ET,18.84,Mia
QB,Jameis Winston,5300,Atl@TB 01:00PM ET,18.136,TB
QB,Ryan Fitzpatrick,5200,NYJ@NYG 01:00PM ET,17.976,NYJ
QB,Tyrod Taylor,5200,Hou@Buf 01:00PM ET,19.089,Buf
QB,Kirk Cousins,5200,Dal@Was 08:30PM ET,17.88,Was
QB,Brock Osweiler,5200,Den@SD 04:05PM ET,10.81,Den
QB,Josh McCown,5100,Cin@Cle 01:00PM ET,18.895,Cle
QB,Matt Cassel,5100,Dal@Was 08:30PM ET,10.097,Dal
QB,Jay Cutler,5100,SF@Chi 01:00PM ET,17.67,Chi
QB,Alex Smith,5100,KC@Oak 04:05PM ET,17.595,KC
QB,Mark Sanchez,5100,Phi@NE 04:25PM ET,12.613,Phi
QB,Sam Bradford,5100,Phi@NE 04:25PM ET,14.887,Phi
QB,Mike Vick,5000,Ind@Pit 08:30PM ET,6.348,Pit
QB,Charlie Whitehurst,5000,Ind@Pit 08:30PM ET,0,Ind
QB,Tarvaris Jackson,5000,Sea@Min 01:00PM ET,0,Sea
QB,Derek Anderson,5000,Car@NO 04:25PM ET,0.2,Car
QB,Dan Orlovsky,5000,GB@Det 08:25PM ET,3.68,Det
QB,Kellen Clemens,5000,Den@SD 04:05PM ET,6.52,SD
QB,Shaun Hill,5000,Sea@Min 01:00PM ET,0.25,Min
QB,Matt Moore,5000,Bal@Mia 01:00PM ET,0.36,Mia
QB,Drew Stanton,5000,Ari@StL 01:00PM ET,-0.067,Ari
QB,Matt Flynn,5000,Car@NO 04:25PM ET,0,NO
QB,Matt Schaub,5000,Bal@Mia 01:00PM ET,16.28,Bal
QB,Brian Hoyer,5000,Hou@Buf 01:00PM ET,17.045,Hou
QB,Chad Henne,5000,Jax@Ten 01:00PM ET,0,Jax
QB,Josh Johnson,5000,Hou@Buf 01:00PM ET,0,Buf
QB,Joe Webb,5000,Car@NO 04:25PM ET,-0.009,Car
QB,Chase Daniel,5000,KC@Oak 04:05PM ET,0.16,KC
QB,Colt McCoy,5000,Dal@Was 08:30PM ET,0,Was
QB,T.J. Yates,5000,Hou@Buf 01:00PM ET,11.11,Hou
QB,Christian Ponder,5000,Den@SD 04:05PM ET,0,Den
QB,Scott Tolzien,5000,GB@Det 08:25PM ET,0,GB
QB,Thaddeus Lewis,5000,Phi@NE 04:25PM ET,0,Phi
QB,Case Keenum,5000,Ari@StL 01:00PM ET,3.72,StL
QB,Jimmy Clausen,5000,Bal@Mia 01:00PM ET,2.387,Bal
QB,Brandon Weeden,5000,Hou@Buf 01:00PM ET,9.63,Hou
QB,Austin Davis,5000,Cin@Cle 01:00PM ET,7.78,Cle
QB,Nick Foles,5000,Ari@StL 01:00PM ET,10.344,StL
QB,Landry Jones,5000,Ind@Pit 08:30PM ET,5.444,Pit
QB,Robert Griffin III,5000,Dal@Was 08:30PM ET,0,Was
QB,EJ Manuel,5000,Hou@Buf 01:00PM ET,10.56,Buf
QB,Blaine Gabbert,5000,SF@Chi 01:00PM ET,17.727,SF
QB,Sean Renfree,5000,Atl@TB 01:00PM ET,-0.4,Atl
QB,Mike Glennon,5000,Atl@TB 01:00PM ET,0,TB
QB,Ryan Nassib,5000,NYJ@NYG 01:00PM ET,0,NYG
QB,Ryan Griffin,5000,Atl@TB 01:00PM ET,0,TB
QB,Matt McGloin,5000,KC@Oak 04:05PM ET,5.84,Oak
QB,Matt Barkley,5000,Ari@StL 01:00PM ET,0,Ari
QB,Zach Mettenberger,5000,Jax@Ten 01:00PM ET,4.185,Ten
QB,Aaron Murray,5000,KC@Oak 04:05PM ET,0,KC
QB,Bryce Petty,5000,NYJ@NYG 01:00PM ET,0,NYJ
QB,AJ McCarron,5000,Cin@Cle 01:00PM ET,-0.04,Cin
QB,David Fales,5000,SF@Chi 01:00PM ET,0,Chi
QB,Geno Smith,5000,NYJ@NYG 01:00PM ET,21,NYJ
QB,Garrett Grayson,5000,Car@NO 04:25PM ET,0,NO
QB,Trevor Siemian,5000,Den@SD 04:05PM ET,0,Den
QB,Dylan Thompson,5000,SF@Chi 01:00PM ET,0,SF
QB,Jimmy Garoppolo,5000,Phi@NE 04:25PM ET,-0.125,NE
QB,Sean Mannion,5000,Ari@StL 01:00PM ET,1.24,StL
QB,Brett Hundley,5000,GB@Det 08:25PM ET,0,GB
QB,Teddy Bridgewater,5000,Sea@Min 01:00PM ET,13.345,Min
QB,Johnny Manziel,5000,Cin@Cle 01:00PM ET,9.189,Cle
QB,Taylor Heinicke,5000,Sea@Min 01:00PM ET,0,Min
RB,Devonta Freeman,8000,Atl@TB 01:00PM ET,24.44,Atl
RB,Todd Gurley,7300,Ari@StL 01:00PM ET,17.522,StL
RB,Matt Forte,6900,SF@Chi 01:00PM ET,16.25,Chi
RB,Adrian Peterson,6600,Sea@Min 01:00PM ET,20.155,Min
RB,Mark Ingram,6400,Car@NO 04:25PM ET,17.045,NO
RB,Marshawn Lynch,6300,Sea@Min 01:00PM ET,12.243,Sea
RB,Chris Ivory,5900,NYJ@NYG 01:00PM ET,16.66,NYJ
RB,Doug Martin,5900,Atl@TB 01:00PM ET,16.245,TB
RB,DeMarco Murray,5800,Phi@NE 04:25PM ET,15.5,Phi
RB,Lamar Miller,5800,Bal@Mia 01:00PM ET,16.073,Mia
RB,LeSean McCoy,5700,Hou@Buf 01:00PM ET,17.322,Buf
RB,DeAngelo Williams,5600,Ind@Pit 08:30PM ET,12.982,Pit
RB,Javorius Allen,5400,Bal@Mia 01:00PM ET,6.082,Bal
RB,Thomas Rawls,5400,Sea@Min 01:00PM ET,10.264,Sea
RB,Darren McFadden,5300,Dal@Was 08:30PM ET,13.009,Dal
RB,Jonathan Stewart,5300,Car@NO 04:25PM ET,12.327,Car
RB,Jeremy Langford,5300,SF@Chi 01:00PM ET,10.545,Chi
RB,Charcandrick West,5200,KC@Oak 04:05PM ET,9.72,KC
RB,LeGarrette Blount,5100,Phi@NE 04:25PM ET,11.49,NE
RB,Eddie Lacy,5000,GB@Det 08:25PM ET,10.15,GB
RB,Spencer Ware,4900,KC@Oak 04:05PM ET,9.167,KC
RB,Danny Woodhead,4800,Den@SD 04:05PM ET,14.855,SD
RB,Latavius Murray,4800,KC@Oak 04:05PM ET,13.464,Oak
RB,Jeremy Hill,4800,Cin@Cle 01:00PM ET,10.127,Cin
RB,T.J. Yeldon,4800,Jax@Ten 01:00PM ET,13.1,Jax
RB,Tevin Coleman,4800,Atl@TB 01:00PM ET,4.678,Atl
RB,Chris Johnson,4600,Ari@StL 01:00PM ET,11.018,Ari
RB,Alfred Blue,4600,Hou@Buf 01:00PM ET,7.927,Hou
RB,James Starks,4500,GB@Det 08:25PM ET,11.1,GB
RB,Ronnie Hillman,4500,Den@SD 04:05PM ET,10.636,Den
RB,Giovani Bernard,4500,Cin@Cle 01:00PM ET,13.618,Cin
RB,Frank Gore,4300,Ind@Pit 08:30PM ET,12.1,Ind
RB,Shane Vereen,4200,NYJ@NYG 01:00PM ET,10.227,NYG
RB,Shaun Draughn,4000,SF@Chi 01:00PM ET,5.75,SF
RB,Carlos Hyde,3800,SF@Chi 01:00PM ET,12.043,SF
RB,Terrance West,3800,Bal@Mia 01:00PM ET,2.267,Bal
RB,Duke Johnson Jr.,3800,Cin@Cle 01:00PM ET,10.782,Cle
RB,Matt Jones,3800,Dal@Was 08:30PM ET,10.28,Was
RB,Alfred Morris,3700,Dal@Was 08:30PM ET,6.064,Was
RB,Ameer Abdullah,3700,GB@Det 08:25PM ET,6.827,Det
RB,Ahmad Bradshaw,3600,Ind@Pit 08:30PM ET,7.15,Ind
RB,Rashad Jennings,3600,NYJ@NYG 01:00PM ET,8.409,NYG
RB,Kyle Juszczyk,3600,Bal@Mia 01:00PM ET,5.7,Bal
RB,Antonio Andrews,3600,Jax@Ten 01:00PM ET,8.644,Ten
RB,Karlos Williams,3600,Hou@Buf 01:00PM ET,12.35,Buf
RB,Robert Turbin,3500,Dal@Was 08:30PM ET,3.16,Dal
RB,Andre Ellington,3500,Ari@StL 01:00PM ET,8.538,Ari
RB,Knile Davis,3500,KC@Oak 04:05PM ET,1.733,KC
RB,Charles Sims,3500,Atl@TB 01:00PM ET,10.009,TB
RB,Theo Riddick,3500,GB@Det 08:25PM ET,11.918,Det
RB,Terron Ward,3500,Atl@TB 01:00PM ET,2.764,Atl
RB,C.J. Anderson,3500,Den@SD 04:05PM ET,10.073,Den
RB,Darren Sproles,3400,Phi@NE 04:25PM ET,8.782,Phi
RB,David Johnson,3400,Ari@StL 01:00PM ET,9.455,Ari
RB,Melvin Gordon,3400,Den@SD 04:05PM ET,8.182,SD
RB,Marcel Reece,3300,KC@Oak 04:05PM ET,5.818,Oak
RB,Joique Bell,3300,GB@Det 08:25PM ET,6.888,Det
RB,James White,3300,Phi@NE 04:25PM ET,4.111,NE
RB,David Cobb,3300,Jax@Ten 01:00PM ET,0.25,Ten
RB,Ryan Mathews,3200,Phi@NE 04:25PM ET,11.733,Phi
RB,Chris Polk,3200,Hou@Buf 01:00PM ET,4.65,Hou
RB,Isaiah Crowell,3200,Cin@Cle 01:00PM ET,6.9,Cle
RB,Tyler Clutts,3000,Dal@Was 08:30PM ET,0.127,Dal
RB,Jerome Felton,3000,Hou@Buf 01:00PM ET,0.218,Buf
RB,Tim Hightower,3000,Car@NO 04:25PM ET,1.533,NO
RB,Cedric Peerman,3000,Cin@Cle 01:00PM ET,0,Cin
RB,Mike Tolbert,3000,Car@NO 04:25PM ET,4.691,Car
RB,John Kuhn,3000,GB@Det 08:25PM ET,1.145,GB
RB,Darrel Young,3000,Dal@Was 08:30PM ET,0.427,Was
RB,Antone Smith,3000,SF@Chi 01:00PM ET,0.22,Chi
RB,Donald Brown,3000,Den@SD 04:05PM ET,0.3,SD
RB,Jorvorskie Lane,3000,Atl@TB 01:00PM ET,0.3,TB
RB,Bruce Miller,3000,SF@Chi 01:00PM ET,1.664,SF
RB,Fred Jackson,3000,Sea@Min 01:00PM ET,4.536,Sea
RB,Boobie Dixon,3000,Hou@Buf 01:00PM ET,1.609,Buf
RB,Toby Gerhart,3000,Jax@Ten 01:00PM ET,1.386,Jax
RB,Chase Reynolds,3000,Ari@StL 01:00PM ET,0,StL
RB,C.J. Spiller,3000,Car@NO 04:25PM ET,7.24,NO
RB,Dexter McCluster,3000,Jax@Ten 01:00PM ET,8.27,Ten
RB,Fozzy Whittaker,3000,Car@NO 04:25PM ET,1.355,Car
RB,Stevan Ridley,3000,NYJ@NYG 01:00PM ET,0.125,NYJ
RB,Matt Asiata,3000,Sea@Min 01:00PM ET,2.973,Min
RB,Taiwan Jones,3000,KC@Oak 04:05PM ET,3.538,Oak
RB,Daniel Herron,3000,Ind@Pit 08:30PM ET,1.74,Ind
RB,Joe Banyard,3000,Jax@Ten 01:00PM ET,0,Jax
RB,Travaris Cadet,3000,SF@Chi 01:00PM ET,0.6,SF
RB,Anthony Sherman,3000,KC@Oak 04:05PM ET,0.3,KC
RB,Will Tukuafu,3000,Sea@Min 01:00PM ET,0.689,Sea
RB,Bilal Powell,3000,NYJ@NYG 01:00PM ET,8.029,NYJ
RB,Will Johnson,3000,Ind@Pit 08:30PM ET,0.936,Pit
RB,Bobby Rainey,3000,Atl@TB 01:00PM ET,0.582,TB
RB,Roy Helu Jr.,3000,KC@Oak 04:05PM ET,2.729,Oak
RB,Patrick DiMarco,3000,Atl@TB 01:00PM ET,2.455,Atl
RB,George Winn,3000,GB@Det 08:25PM ET,0.02,Det
RB,Kenjon Barner,3000,Phi@NE 04:25PM ET,1.3,Phi
RB,Zach Line,3000,Sea@Min 01:00PM ET,2.1,Min
RB,Derrick Coleman,3000,Sea@Min 01:00PM ET,0.144,Sea
RB,Jonathan Grimes,3000,Hou@Buf 01:00PM ET,5,Hou
RB,Glenn Winston,3000,Cin@Cle 01:00PM ET,0,Cle
RB,Jordan Todman,3000,Ind@Pit 08:30PM ET,0.2,Pit
RB,Brandon Bolden,3000,Phi@NE 04:25PM ET,3.72,NE
RB,Tommy Bohanon,3000,NYJ@NYG 01:00PM ET,0.782,NYJ
RB,Rex Burkhead,3000,Cin@Cle 01:00PM ET,1.264,Cin
RB,Benny Cunningham,3000,Ari@StL 01:00PM ET,4.218,StL
RB,Kendall Gaskins,3000,SF@Chi 01:00PM ET,1.575,SF
RB,Nikita Whitlock,3000,NYJ@NYG 01:00PM ET,0,NYG
RB,Stepfan Taylor,3000,Ari@StL 01:00PM ET,0.245,Ari
RB,Brandon Wegher,3000,Car@NO 04:25PM ET,0,Car
RB,Chris Thompson,3000,Dal@Was 08:30PM ET,7.61,Was
RB,Denard Robinson,3000,Jax@Ten 01:00PM ET,2.675,Jax
RB,Fitzgerald Toussaint,3000,Ind@Pit 08:30PM ET,0,Pit
RB,Bernard Pierce,3000,Jax@Ten 01:00PM ET,0.686,Jax
RB,Jay Prosch,3000,Hou@Buf 01:00PM ET,0.282,Hou
RB,Jalston Fowler,3000,Jax@Ten 01:00PM ET,1.9,Ten
RB,Orleans Darkwa,3000,NYJ@NYG 01:00PM ET,1.555,NYG
RB,Roosevelt Nix,3000,Ind@Pit 08:30PM ET,0.327,Pit
RB,Marcus Murphy,3000,Car@NO 04:25PM ET,0.455,NO
RB,Andre Williams,3000,NYJ@NYG 01:00PM ET,2.518,NYG
RB,Rod Smith,3000,Dal@Was 08:30PM ET,0.35,Dal
RB,Malcolm Johnson,3000,Cin@Cle 01:00PM ET,0.5,Cle
RB,Juwan Thompson,3000,Den@SD 04:05PM ET,0.39,Den
RB,Michael Burton,3000,GB@Det 08:25PM ET,0.282,Det
RB,Jamize Olawale,3000,KC@Oak 04:05PM ET,3.256,Oak
RB,Jerick McKinnon,3000,Sea@Min 01:00PM ET,2.373,Min
RB,Jay Ajayi,3000,Bal@Mia 01:00PM ET,6.075,Mia
RB,Tre Mason,3000,Ari@StL 01:00PM ET,4.013,StL
RB,Ka'Deem Carey,3000,SF@Chi 01:00PM ET,1.767,Chi
RB,Alonzo Harris,3000,GB@Det 08:25PM ET,0.317,GB
RB,Aaron Ripkowski,3000,GB@Det 08:25PM ET,0.255,GB
RB,Akeem Hunt,3000,Hou@Buf 01:00PM ET,1.95,Hou
RB,Raheem Mostert,3000,Bal@Mia 01:00PM ET,0,Bal
RB,Bishop Sankey,3000,Jax@Ten 01:00PM ET,4.767,Ten
RB,Trey Williams,3000,Dal@Was 08:30PM ET,0,Dal
RB,Damien Williams,3000,Bal@Mia 01:00PM ET,2.182,Mia
RB,Cameron Artis-Payne,3000,Car@NO 04:25PM ET,0.775,Car
TE,Rob Gronkowski,7800,Phi@NE 04:25PM ET,19.918,NE
TE,Greg Olsen,6400,Car@NO 04:25PM ET,15.8,Car
TE,Tyler Eifert,5800,Cin@Cle 01:00PM ET,15.745,Cin
TE,Delanie Walker,5700,Jax@Ten 01:00PM ET,15.28,Ten
TE,Gary Barnidge,5300,Cin@Cle 01:00PM ET,16.527,Cle
TE,Jordan Reed,5300,Dal@Was 08:30PM ET,15.9,Was
TE,Antonio Gates,4900,Den@SD 04:05PM ET,15.683,SD
TE,Jason Witten,4700,Dal@Was 08:30PM ET,10.618,Dal
TE,Travis Kelce,4700,KC@Oak 04:05PM ET,13.718,KC
TE,Jimmy Graham,4500,Sea@Min 01:00PM ET,11.227,Sea
TE,Benjamin Watson,4400,Car@NO 04:25PM ET,12.127,NO
TE,Julius Thomas,4000,Jax@Ten 01:00PM ET,11.186,Jax
TE,Jacob Tamme,3700,Atl@TB 01:00PM ET,10.45,Atl
TE,Kyle Rudolph,3700,Sea@Min 01:00PM ET,8.827,Min
TE,Martellus Bennett,3600,SF@Chi 01:00PM ET,11.05,Chi
TE,Crockett Gillmore,3600,Bal@Mia 01:00PM ET,11.056,Bal
TE,Charles Clay,3500,Hou@Buf 01:00PM ET,9.664,Buf
TE,Heath Miller,3300,Ind@Pit 08:30PM ET,8.091,Pit
TE,Eric Ebron,3200,GB@Det 08:25PM ET,9.089,Det
TE,Zach Miller,3100,SF@Chi 01:00PM ET,5.836,Chi
TE,Richard Rodgers,3100,GB@Det 08:25PM ET,9.309,GB
TE,Vernon Davis,3000,Den@SD 04:05PM ET,5.71,Den
TE,Brent Celek,3000,Phi@NE 04:25PM ET,6.4,Phi
